document_name,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
adapt,0.0833359,0.083872,0.5826415,0.083336085,0.083336085,0.0834785
work,0.084040776,0.08364193,0.57974666,0.08385388,0.08390441,0.08481237
availab,0.083389714,0.08339327,0.5830433,0.08339151,0.08339204,0.083390154
worldwid,0.08338587,0.083389446,0.08468885,0.08338745,0.083388,0.58176035
germani,0.08338972,0.083393276,0.5830433,0.083391584,0.083391994,0.08339016
adapt,0.0833359,0.08388499,0.5826283,0.083336085,0.083336085,0.083478644
cabl,0.08334839,0.08334959,0.58325547,0.083348945,0.08334908,0.083348505
ship,0.084674224,0.083393484,0.5817584,0.08339169,0.083392054,0.08339017
usa/canada,0.08338973,0.0833933,0.58304316,0.08339163,0.083392024,0.08339018
scan,0.08333489,0.08339889,0.08350218,0.58195674,0.08354064,0.084266685
My,0.083503984,0.08334125,0.5831321,0.083341,0.083340935,0.08334081
tesla,0.08334047,0.08334111,0.5832962,0.08334082,0.08334088,0.0833405
read,0.08419133,0.08407645,0.5812735,0.08378994,0.083334416,0.08333434
inform,0.08344977,0.083625756,0.58280456,0.08333529,0.083335236,0.08344935
diagnost,0.0833357,0.5829173,0.08368352,0.08333583,0.083335824,0.08339183
port,0.08334846,0.08334966,0.58287734,0.08334907,0.083349235,0.08372629
tesla,0.08334051,0.083341174,0.583296,0.08334087,0.083340935,0.08334054
model,0.08333867,0.08357722,0.58238405,0.08352559,0.08353092,0.08364355
S,0.08335729,0.08335908,0.582353,0.08421469,0.08335837,0.08335756
3,0.08377224,0.083624765,0.58216476,0.08354356,0.08355828,0.08333639
X,0.08334212,0.08334259,0.58307916,0.08334234,0.08334236,0.0835514
present,0.08333623,0.5825732,0.08356204,0.08378544,0.08334266,0.08340045
visual,0.5799585,0.083361566,0.08396805,0.08426936,0.08443151,0.08401099
log,0.08334374,0.08334447,0.08357319,0.083344586,0.08371394,0.58268005
later,0.083348304,0.08402587,0.08426757,0.08334874,0.08334886,0.5816606
