topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
0,0.08697555,0.0891166,0,0,0,0,0,0,0.117728,0.101825446,0
0,0.044975948,0,0,0,0,0.02989461,0.6988113,0,0,0.028373746,0
0,0.11972888,0.09221469,0.099226385,0,0,0,0,0,0,0,0.2632401
0.018613324,0.8014877,0,0,0,0,0.01971485,0.02618817,0,0,0,0
0,0.095362335,0,0,0,0.055511683,0,0.3856833,0,0,0.081572756,0
0,0.050627798,0,0,0,0.052939806,0.50122243,0.0785094,0,0,0,0
0,0.08212269,0,0,0,0,0,0.085367806,0,0.095432915,0.15450588,0
0,0.12156891,0,0,0,0.18534291,0.079063036,0.09898583,0,0,0,0
0,0.08504972,0,0.13798277,0,0,0.19604,0.1564198,0,0,0,0
0,0,0,0,0.024250034,0,0.021619858,0.7954138,0,0,0.01996446,0
0,0.05761212,0,0,0,0,0,0.06756119,0.51437706,0.04890126,0,0
0,0.26509145,0,0.056506623,0,0,0.04251941,0.38373196,0,0,0,0
0,0.121796645,0,0,0,0.07119591,0.16593792,0.2594855,0,0,0,0
0,0,0,0,0,0,0,0.08871113,0,0.18401992,0.14820999,0.09056073
0,0,0,0,0,0.16882004,0.08825571,0.13373537,0,0,0,0.085356824
0,0,0,0.11294225,0,0.15340662,0.10225794,0,0,0,0.114081606,0
0,0.09952818,0,0,0.18798846,0.08259303,0,0.1131731,0,0,0,0
